index,Name,City,Latitude,Longitude,Category,Address,Country,Country2,City2,Query
0,RMU - library,Chicago,41.87654003660569,-87.6277073903044,University,"401 S State St, Robert Morris University, Chicago, IL 60605",United States,United States of America,Chicago,university
0,Pajama Tutors,Chicago,41.8767508843651,-87.6256227493286,University,303 W Madison St,United States,United States of America,Chicago,university
0,Argosy University Chicago,Chicago,41.886470304061845,-87.62369339520319,University,225 N Michigan Ave Ste 1300,United States,United States of America,Chicago,university
0,Roosevelt University Wabash Building,Chicago,41.876427703325234,-87.62553358010527,University,430 S Wabash Ave,United States,United States of America,Chicago,university
0,Robert Morris University,Chicago,41.8761784,-87.6272164,University,401 S State St,United States,United States of America,Chicago,university
0,Robert Morris University 7th Floor,Chicago,41.87555735218444,-87.62733625929638,University,,United States,United States of America,Chicago,university
0,Roosevelt University- 6th Floor,Chicago,41.875317,-87.625428,University,430 S Michigan Ave,United States,United States of America,Chicago,university
0,Citywide CPR,Chicago,41.886512089827455,-87.62021541595459,University,"Citywide CPR Providence 211 N Stetson Ave,",United States,United States of America,Chicago,university
0,The Chicago School of Professional Psychology,Chicago,41.8880836661084,-87.63397428066382,University,325 N Wells St,United States,United States of America,Chicago,university
0,Columbia College Chicago,Chicago,41.87416497086687,-87.6256203416948,University,623 S Wabash Ave,United States,United States of America,Chicago,university
0,Realtor University,Chicago,41.89016342163086,-87.62490844726562,University,,United States,United States of America,Chicago,university
0,University of Chicago,Chicago,41.889959074574456,-87.62332110393366,University,410 N Michigan Ave,United States,United States of America,Chicago,university
0,University Of Chicago Booth School of Business,Chicago,41.88965434983475,-87.62179946222531,University,450 N Cityfront Plaza Dr,United States,United States of America,Chicago,university
0,Erikson Institute,Chicago,41.89065039381017,-87.63170207921976,University,451 N La Salle Dr,United States,United States of America,Chicago,university
0,The Landmark Forum,Chicago,41.870564469155184,-87.62653327584414,University,,United States,United States of America,Chicago,university
0,East-West University,Chicago,41.87103891035681,-87.62574647440003,College Academic Building,816 S Michigan Ave,United States,United States of America,Chicago,university
0,Gage Building,Chicago,41.881359763951224,-87.62439161869315,College Academic Building,Roosevelt University,United States,United States of America,Chicago,university
0,UNAM Chicago,Chicago,41.89422134403686,-87.63779078017969,University,350 W Erie St,United States,United States of America,Chicago,university
0,Northwestern University,Chicago,41.89578904479763,-87.61888136800229,University,645 N Michigan Ave,United States,United States of America,Chicago,university
0,Loyola University Chicago - Water Tower Campus,Chicago,41.897481167035764,-87.6269121058828,University,1 E Pearson St,United States,United States of America,Chicago,university
